k,g,X,count,R_emp_naive,R_emp_li2,R_HL,ratio_emp_to_HL,log_X
13,234,50000000,521497,3.277769748368991,2.8798372854052348,2.8807061055136125,0.9996984002961237,17.72753356339242
15,270,1000000,21872,4.174672157005807,3.5025419397884137,3.520863017849971,0.9947964240674307,13.815510557964274
15,270,2000000,39298,4.136137084042627,3.5070033112700503,3.520863017849971,0.9960635484795474,14.508657738524219
15,270,4000000,71094,4.107364721673325,3.5151411554134264,3.520863017849971,0.9983748693409723,15.201804919084164
15,270,8000000,129084,4.076626043554564,3.5177813089049152,3.520863017849971,0.9991247290992485,15.89495209964411
15,270,16000000,235185,4.044668087406751,3.5161112905582153,3.520863017849971,0.9986504083607725,16.588099280204055
15,270,32000000,430898,4.021375503767276,3.5192298458044005,3.520863017849971,0.9995361443949138,17.281246460764002
15,270,50000000,637621,4.007644961955264,3.5211031506554615,3.520863017849971,1.0000682028253507,17.72753356339242
17,306,1000000,17590,3.3573739594793404,2.816830318255221,2.816690414279977,1.0000496696316126,13.815510557964274
17,306,2000000,31643,3.3304439348150243,2.8238614122479055,2.816690414279977,1.0025458949736092,14.508657738524219
17,306,4000000,57044,3.2956439809707305,2.8204589989226023,2.816690414279977,1.0013379477643405,15.201804919084164
17,306,8000000,103455,3.267231781908969,2.8193429496510647,2.816690414279977,1.0009417205943685,15.89495209964411
17,306,16000000,188437,3.2407046384193974,2.817209699848708,2.816690414279977,1.0001843601860176,16.588099280204055
17,306,32000000,344566,3.215678122968951,2.814139195469552,2.816690414279977,0.9990942494789308,17.281246460764002
17,306,50000000,509303,3.201126691339686,2.8124989577480646,2.816690414279977,0.9985119214697282,17.72753356339242
20,360,1000000,21843,4.169136975378467,3.4978979330101643,3.520863017849971,0.9934774273456879,13.815510557964274
20,360,2000000,39261,4.132242812779214,3.503701384390387,3.520863017849971,0.9951257310004454,14.508657738524219
20,360,4000000,71048,4.1047071306361484,3.5128667512000047,3.520863017849971,0.9977288901586266,15.201804919084164
20,360,8000000,128961,4.07274155745747,3.514429328016538,3.520863017849971,0.9981726952168216,15.89495209964411
20,360,16000000,234930,4.040282644617931,3.512298936968095,3.520863017849971,0.9975676188370697,16.588099280204055
20,360,32000000,430577,4.018379756428673,3.516608174827735,3.520863017849971,0.9987915340640449,17.281246460764002
20,360,50000000,637022,4.003880061909295,3.5177953223573932,3.520863017849971,0.9991287092178749,17.72753356339242
